Ano,Mes,Casos
2015,Jan,57
2016,Jan,308
2017,Jan,10
2018,Jan,6
2019,Jan,13
2020,Jan,104
2021,Jan,5
2022,Jan,3
2023,Jan,52
2024,Jan,1270
2025,Jan,45
2026,Jan,2
2015,Fev,90
2016,Fev,492
2017,Fev,16
2018,Fev,11
2019,Fev,16
2020,Fev,404
2021,Fev,20
2022,Fev,10
2023,Fev,82
2024,Fev,4465
2025,Fev,113
2026,Fev,1
2015,Mar,491
2016,Mar,1162
2017,Mar,25
2018,Mar,21
2019,Mar,21
2020,Mar,651
2021,Mar,63
2022,Mar,139
2023,Mar,241
2024,Mar,9605
2025,Mar,452
2026,Mar,0
2015,Abr,936
2016,Abr,915
2017,Abr,11
2018,Abr,9
2019,Abr,56
2020,Abr,628
2021,Abr,95
2022,Abr,429
2023,Abr,460
2024,Abr,7883
2025,Abr,1206
2026,Abr,0
2015,Mai,647
2016,Mai,422
2017,Mai,10
2018,Mai,4
2019,Mai,120
2020,Mai,365
2021,Mai,55
2022,Mai,672
2023,Mai,468
2024,Mai,4456
2025,Mai,922
2026,Mai,0
2015,Jun,217
2016,Jun,78
2017,Jun,6
2018,Jun,6
2019,Jun,55
2020,Jun,102
2021,Jun,22
2022,Jun,190
2023,Jun,161
2024,Jun,1427
2025,Jun,374
2026,Jun,0
2015,Jul,28
2016,Jul,41
2017,Jul,4
2018,Jul,14
2019,Jul,34
2020,Jul,32
2021,Jul,6
2022,Jul,64
2023,Jul,40
2024,Jul,103
2025,Jul,96
2026,Jul,0
2015,Ago,7
2016,Ago,3
2017,Ago,3
2018,Ago,5
2019,Ago,19
2020,Ago,15
2021,Ago,2
2022,Ago,15
2023,Ago,25
2024,Ago,42
2025,Ago,18
2026,Ago,0
2015,Set,8
2016,Set,1
2017,Set,7
2018,Set,6
2019,Set,15
2020,Set,20
2021,Set,2
2022,Set,8
2023,Set,37
2024,Set,27
2025,Set,19
2026,Set,0
2015,Out,20
2016,Out,7
2017,Out,11
2018,Out,7
2019,Out,22
2020,Out,9
2021,Out,3
2022,Out,15
2023,Out,32
2024,Out,29
2025,Out,15
2026,Out,0
2015,Nov,48
2016,Nov,10
2017,Nov,8
2018,Nov,8
2019,Nov,14
2020,Nov,7
2021,Nov,5
2022,Nov,6
2023,Nov,68
2024,Nov,30
2025,Nov,37
2026,Nov,0
2015,Dez,109
2016,Dez,12
2017,Dez,8
2018,Dez,12
2019,Dez,30
2020,Dez,13
2021,Dez,4
2022,Dez,11
2023,Dez,158
2024,Dez,33
2025,Dez,18
2026,Dez,0
