Evolucao,Ano,Casos,Sexo
Ign/Branco,2015,64,Masculino
Cura,2015,1279,Masculino
Óbito pelo agravo notificado,2015,1,Masculino
Óbito por outra causa,2015,1,Masculino
Óbito em investigação,2015,0,Masculino
Ign/Branco,2016,30,Masculino
Cura,2016,1686,Masculino
Óbito pelo agravo notificado,2016,1,Masculino
Óbito por outra causa,2016,0,Masculino
Óbito em investigação,2016,0,Masculino
Ign/Branco,2017,23,Masculino
Cura,2017,40,Masculino
Óbito pelo agravo notificado,2017,0,Masculino
Óbito por outra causa,2017,0,Masculino
Óbito em investigação,2017,0,Masculino
Ign/Branco,2018,25,Masculino
Cura,2018,28,Masculino
Óbito pelo agravo notificado,2018,0,Masculino
Óbito por outra causa,2018,0,Masculino
Óbito em investigação,2018,0,Masculino
Ign/Branco,2019,71,Masculino
Cura,2019,148,Masculino
Óbito pelo agravo notificado,2019,1,Masculino
Óbito por outra causa,2019,0,Masculino
Óbito em investigação,2019,0,Masculino
Ign/Branco,2020,30,Masculino
Cura,2020,1104,Masculino
Óbito pelo agravo notificado,2020,4,Masculino
Óbito por outra causa,2020,0,Masculino
Óbito em investigação,2020,0,Masculino
Ign/Branco,2021,15,Masculino
Cura,2021,144,Masculino
Óbito pelo agravo notificado,2021,0,Masculino
Óbito por outra causa,2021,0,Masculino
Óbito em investigação,2021,0,Masculino
Ign/Branco,2022,22,Masculino
Cura,2022,773,Masculino
Óbito pelo agravo notificado,2022,2,Masculino
Óbito por outra causa,2022,0,Masculino
Óbito em investigação,2022,0,Masculino
Ign/Branco,2023,63,Masculino
Cura,2023,840,Masculino
Óbito pelo agravo notificado,2023,1,Masculino
Óbito por outra causa,2023,0,Masculino
Óbito em investigação,2023,1,Masculino
Ign/Branco,2024,338,Masculino
Cura,2024,13053,Masculino
Óbito pelo agravo notificado,2024,22,Masculino
Óbito por outra causa,2024,1,Masculino
Óbito em investigação,2024,0,Masculino
Ign/Branco,2025,13,Masculino
Cura,2025,1540,Masculino
Óbito pelo agravo notificado,2025,0,Masculino
Óbito por outra causa,2025,0,Masculino
Óbito em investigação,2025,0,Masculino
Ign/Branco,2026,1,Masculino
Cura,2026,3,Masculino
Óbito pelo agravo notificado,2026,0,Masculino
Óbito por outra causa,2026,0,Masculino
Óbito em investigação,2026,0,Masculino
Ign/Branco,2015,58,Feminino
Cura,2015,1251,Feminino
Óbito pelo agravo notificado,2015,0,Feminino
Óbito por outra causa,2015,0,Feminino
Ign/Branco,2016,32,Feminino
Cura,2016,1704,Feminino
Óbito pelo agravo notificado,2016,2,Feminino
Óbito por outra causa,2016,0,Feminino
Ign/Branco,2017,19,Feminino
Cura,2017,36,Feminino
Óbito pelo agravo notificado,2017,0,Feminino
Óbito por outra causa,2017,0,Feminino
Ign/Branco,2018,20,Feminino
Cura,2018,37,Feminino
Óbito pelo agravo notificado,2018,0,Feminino
Óbito por outra causa,2018,0,Feminino
Ign/Branco,2019,70,Feminino
Cura,2019,123,Feminino
Óbito pelo agravo notificado,2019,0,Feminino
Óbito por outra causa,2019,0,Feminino
Ign/Branco,2020,24,Feminino
Cura,2020,1187,Feminino
Óbito pelo agravo notificado,2020,2,Feminino
Óbito por outra causa,2020,0,Feminino
Ign/Branco,2021,9,Feminino
Cura,2021,115,Feminino
Óbito pelo agravo notificado,2021,0,Feminino
Óbito por outra causa,2021,0,Feminino
Ign/Branco,2022,25,Feminino
Cura,2022,740,Feminino
Óbito pelo agravo notificado,2022,0,Feminino
Óbito por outra causa,2022,0,Feminino
Ign/Branco,2023,45,Feminino
Cura,2023,855,Feminino
Óbito pelo agravo notificado,2023,0,Feminino
Óbito por outra causa,2023,0,Feminino
Ign/Branco,2024,359,Feminino
Cura,2024,15593,Feminino
Óbito pelo agravo notificado,2024,20,Feminino
Óbito por outra causa,2024,1,Feminino
Ign/Branco,2025,17,Feminino
Cura,2025,1737,Feminino
Óbito pelo agravo notificado,2025,1,Feminino
Óbito por outra causa,2025,0,Feminino
Ign/Branco,2026,1,Feminino
Cura,2026,6,Feminino
Óbito pelo agravo notificado,2026,0,Feminino
Óbito por outra causa,2026,0,Feminino
