Faixa_Etaria,Ano,Casos
Em branco/IGN,2015,0
<1 Ano,2015,33
1-4,2015,83
5-9,2015,106
10-14,2015,176
15-19,2015,247
20-39,2015,1073
40-59,2015,689
60-64,2015,93
65-69,2015,64
70-79,2015,77
80 e +,2015,13
Em branco/IGN,2016,1
<1 Ano,2016,61
1-4,2016,128
5-9,2016,136
10-14,2016,207
15-19,2016,293
20-39,2016,1297
40-59,2016,967
60-64,2016,134
65-69,2016,94
70-79,2016,102
80 e +,2016,36
Em branco/IGN,2017,0
<1 Ano,2017,7
1-4,2017,11
5-9,2017,10
10-14,2017,12
15-19,2017,12
20-39,2017,36
40-59,2017,22
60-64,2017,4
65-69,2017,2
70-79,2017,0
80 e +,2017,2
Em branco/IGN,2018,0
<1 Ano,2018,1
1-4,2018,9
5-9,2018,6
10-14,2018,3
15-19,2018,6
20-39,2018,47
40-59,2018,27
60-64,2018,3
65-69,2018,2
70-79,2018,3
80 e +,2018,3
Em branco/IGN,2019,0
<1 Ano,2019,7
1-4,2019,9
5-9,2019,17
10-14,2019,19
15-19,2019,24
20-39,2019,163
40-59,2019,127
60-64,2019,18
65-69,2019,13
70-79,2019,9
80 e +,2019,7
Em branco/IGN,2020,0
<1 Ano,2020,20
1-4,2020,37
5-9,2020,81
10-14,2020,120
15-19,2020,169
20-39,2020,887
40-59,2020,739
60-64,2020,114
65-69,2020,88
70-79,2020,70
80 e +,2020,26
Em branco/IGN,2021,0
<1 Ano,2021,0
1-4,2021,4
5-9,2021,12
10-14,2021,13
15-19,2021,23
20-39,2021,106
40-59,2021,92
60-64,2021,18
65-69,2021,9
70-79,2021,4
80 e +,2021,1
Em branco/IGN,2022,0
<1 Ano,2022,3
1-4,2022,30
5-9,2022,68
10-14,2022,98
15-19,2022,125
20-39,2022,550
40-59,2022,464
60-64,2022,81
65-69,2022,72
70-79,2022,56
80 e +,2022,15
Em branco/IGN,2023,0
<1 Ano,2023,6
1-4,2023,35
5-9,2023,90
10-14,2023,140
15-19,2023,146
20-39,2023,645
40-59,2023,523
60-64,2023,72
65-69,2023,62
70-79,2023,67
80 e +,2023,19
Em branco/IGN,2024,0
<1 Ano,2024,140
1-4,2024,532
5-9,2024,1261
10-14,2024,1775
15-19,2024,2290
20-39,2024,10112
40-59,2024,8623
60-64,2024,1487
65-69,2024,1196
70-79,2024,1429
80 e +,2024,543
Em branco/IGN,2025,0
<1 Ano,2025,35
1-4,2025,133
5-9,2025,197
10-14,2025,178
15-19,2025,272
20-39,2025,1075
40-59,2025,900
60-64,2025,159
65-69,2025,134
70-79,2025,164
80 e +,2025,61
Em branco/IGN,2026,0
<1 Ano,2026,0
1-4,2026,1
5-9,2026,0
10-14,2026,1
15-19,2026,2
20-39,2026,2
40-59,2026,3
60-64,2026,0
65-69,2026,0
70-79,2026,1
80 e +,2026,1
